codice_proiezione,data_ora_proiezione,titolo_film,genere,regista,anno,durata_minuti,eta_minima,prezzo_biglietto
PRO003372,2021-10-17 13:00:00,Pulp Fiction,Crime,Quentin Tarantino,1994,154,12,8.50
PRO003373,2021-10-17 16:30:00,Soorarai Pottru,Drama,Sudha Kongara,2020,153,0,6.50
PRO003374,2021-10-17 20:00:00,Mulholland Dr.,Drama,David Lynch,2001,147,16,10.00
PRO003375,2021-10-18 10:30:00,The Verdict,Drama,Sidney Lumet,1982,129,0,7.50
PRO003376,2021-10-18 13:30:00,Goldfinger,Action,Guy Hamilton,1964,110,12,7.00
PRO003377,2021-10-19 10:00:00,The Insider,Biography,Michael Mann,1999,157,12,8.50
PRO003378,2021-10-19 13:30:00,Miller's Crossing,Crime,Joel Coen,1990,115,16,7.00
PRO003379,2021-10-20 10:00:00,Mulholland Dr.,Drama,David Lynch,2001,147,16,8.00
PRO003380,2021-10-21 10:00:00,Ferris Bueller's Day Off,Comedy,John Hughes,1986,103,0,7.00
PRO003381,2021-10-22 10:00:00,Hamlet,Drama,Kenneth Branagh,1996,242,12,8.50
PRO003382,2021-10-23 10:00:00,Hamlet,Drama,Kenneth Branagh,1996,242,12,8.00
PRO003383,2021-10-23 15:00:00,Goldfinger,Action,Guy Hamilton,1964,110,12,8.00
PRO003384,2021-10-23 17:30:00,The Insider,Biography,Michael Mann,1999,157,12,6.50
PRO003385,2021-10-24 10:30:00,Gone with the Wind,Drama,Victor Fleming,1939,238,0,8.50
PRO003386,2021-10-24 15:30:00,Platoon,Drama,Oliver Stone,1986,120,12,7.00
PRO003387,2021-10-24 18:30:00,American Beauty,Drama,Sam Mendes,1999,122,12,10.00
PRO003388,2021-10-25 10:30:00,Sherlock Jr.,Action,Buster Keaton,1924,45,12,7.00
PRO003389,2021-10-25 12:00:00,Gone with the Wind,Drama,Victor Fleming,1939,238,0,7.00
PRO003390,2021-10-25 17:00:00,La haine,Crime,Mathieu Kassovitz,1995,98,12,8.00
PRO003391,2021-10-26 10:30:00,Little Women,Drama,Greta Gerwig,2019,135,0,8.50
PRO003392,2021-10-27 10:00:00,Billy Elliot,Drama,Stephen Daldry,2000,110,16,8.00
PRO003393,2021-10-28 10:30:00,Crimes and Misdemeanors,Comedy,Woody Allen,1989,104,12,8.00
PRO003394,2021-10-28 13:00:00,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,6.50
PRO003395,2021-10-29 10:30:00,The Insider,Biography,Michael Mann,1999,157,12,7.00
PRO003396,2021-10-30 10:30:00,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,8.50
PRO003397,2021-10-30 13:00:00,Network,Drama,Sidney Lumet,1976,121,12,6.50
PRO003398,2021-10-30 16:00:00,Höstsonaten,Drama,Ingmar Bergman,1978,99,0,7.00
PRO003399,2021-10-31 10:30:00,Sabrina,Comedy,Billy Wilder,1954,113,12,7.50
PRO003400,2021-10-31 13:00:00,Höstsonaten,Drama,Ingmar Bergman,1978,99,0,7.50
PRO003401,2021-10-31 15:30:00,Andrei Rublev,Biography,Andrei Tarkovsky,1966,205,16,7.00
PRO003402,2021-10-31 20:00:00,Patton,Biography,Franklin J. Schaffner,1970,172,0,9.00
PRO003403,2021-11-01 10:00:00,The Insider,Biography,Michael Mann,1999,157,12,8.50
PRO003404,2021-11-01 13:30:00,The Great Escape,Adventure,John Sturges,1963,172,0,7.00
PRO003405,2021-11-01 17:30:00,Höstsonaten,Drama,Ingmar Bergman,1978,99,0,8.50
PRO003406,2021-11-02 10:00:00,Hana-bi,Crime,Takeshi Kitano,1997,103,12,6.50
PRO003407,2021-11-02 12:30:00,Gone with the Wind,Drama,Victor Fleming,1939,238,0,7.50
PRO003408,2021-11-02 17:30:00,Platoon,Drama,Oliver Stone,1986,120,12,8.50
PRO003409,2021-11-03 10:00:00,Hana-bi,Crime,Takeshi Kitano,1997,103,12,7.50
PRO003410,2021-11-04 10:30:00,Mississippi Burning,Crime,Alan Parker,1988,128,12,8.50
PRO003411,2021-11-05 10:30:00,Patton,Biography,Franklin J. Schaffner,1970,172,0,8.50
PRO003412,2021-11-06 10:30:00,Andrei Rublev,Biography,Andrei Tarkovsky,1966,205,16,7.50
PRO003413,2021-11-06 15:00:00,Platoon,Drama,Oliver Stone,1986,120,12,7.50
PRO003414,2021-11-06 18:00:00,Höstsonaten,Drama,Ingmar Bergman,1978,99,0,8.50
PRO003415,2021-11-07 10:30:00,Mississippi Burning,Crime,Alan Parker,1988,128,12,6.50
PRO003416,2021-11-07 13:30:00,Mississippi Burning,Crime,Alan Parker,1988,128,12,8.50
PRO003417,2021-11-07 16:30:00,Das Boot,Adventure,Wolfgang Petersen,1981,149,16,6.50
PRO003418,2021-11-08 10:30:00,Little Women,Drama,Greta Gerwig,2019,135,0,6.50
PRO003419,2021-11-08 13:30:00,Höstsonaten,Drama,Ingmar Bergman,1978,99,0,7.00
PRO003420,2021-11-08 16:00:00,The Insider,Biography,Michael Mann,1999,157,12,6.50
PRO003421,2021-11-09 10:00:00,Mulholland Dr.,Drama,David Lynch,2001,147,16,7.00
PRO003422,2021-11-09 13:30:00,"Monsters, Inc.",Animation,Pete Docter,2001,92,0,8.00
PRO003423,2021-11-10 10:00:00,Höstsonaten,Drama,Ingmar Bergman,1978,99,0,7.00
PRO003424,2021-11-10 12:30:00,Mississippi Burning,Crime,Alan Parker,1988,128,12,8.50
PRO003425,2021-11-11 10:30:00,Andrei Rublev,Biography,Andrei Tarkovsky,1966,205,16,8.00
PRO003426,2021-11-12 10:30:00,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,7.50
PRO003427,2021-11-12 13:30:00,Malcolm X,Biography,Spike Lee,1992,202,0,7.50
PRO003428,2021-11-13 10:00:00,Life of Brian,Comedy,Terry Jones,1979,94,16,7.00
PRO003429,2021-11-13 12:30:00,The Shawshank Redemption,Drama,Frank Darabont,1994,142,12,8.00
PRO003430,2021-11-13 16:00:00,Network,Drama,Sidney Lumet,1976,121,12,7.00
PRO003431,2021-11-14 10:00:00,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,7.00
PRO003432,2021-11-14 12:30:00,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,8.50
PRO003433,2021-11-14 15:30:00,Hana-bi,Crime,Takeshi Kitano,1997,103,12,8.50
PRO003434,2021-11-14 18:00:00,Platoon,Drama,Oliver Stone,1986,120,12,8.50
PRO003435,2021-11-15 10:30:00,The Lion in Winter,Biography,Anthony Harvey,1968,134,6,8.00
PRO003436,2021-11-16 10:00:00,Klaus,Animation,Sergio Pablos,2019,96,6,7.00
PRO003437,2021-11-16 12:30:00,Blowup,Drama,Michelangelo Antonioni,1966,111,12,8.00
PRO003438,2021-11-16 15:30:00,"Il buono, il brutto, il cattivo",Western,Sergio Leone,1966,161,12,8.00
PRO003439,2021-11-17 10:00:00,Höstsonaten,Drama,Ingmar Bergman,1978,99,0,8.00
PRO003440,2021-11-18 10:00:00,"Monsters, Inc.",Animation,Pete Docter,2001,92,0,7.00
PRO003441,2021-11-18 12:30:00,"Il buono, il brutto, il cattivo",Western,Sergio Leone,1966,161,12,8.50
PRO003442,2021-11-19 10:00:00,Das Boot,Adventure,Wolfgang Petersen,1981,149,16,7.50
PRO003443,2021-11-20 10:30:00,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,8.00
PRO003444,2021-11-20 13:00:00,The Lion in Winter,Biography,Anthony Harvey,1968,134,6,7.50
PRO003445,2021-11-20 16:00:00,Höstsonaten,Drama,Ingmar Bergman,1978,99,0,7.00
PRO003446,2021-11-21 10:30:00,Hamlet,Drama,Kenneth Branagh,1996,242,12,7.00
PRO003447,2021-11-21 15:30:00,Crimes and Misdemeanors,Comedy,Woody Allen,1989,104,12,6.50
PRO003448,2021-11-21 18:00:00,The Lion in Winter,Biography,Anthony Harvey,1968,134,6,8.50
PRO003449,2021-11-21 21:00:00,Patton,Biography,Franklin J. Schaffner,1970,172,0,10.00
PRO003450,2021-11-22 10:30:00,"Il buono, il brutto, il cattivo",Western,Sergio Leone,1966,161,12,8.00
PRO003451,2021-11-22 14:00:00,Predator,Action,John McTiernan,1987,107,12,8.00
PRO003452,2021-11-22 16:30:00,Ferris Bueller's Day Off,Comedy,John Hughes,1986,103,0,8.50
PRO003453,2021-11-23 10:00:00,"Il buono, il brutto, il cattivo",Western,Sergio Leone,1966,161,12,8.00
PRO003454,2021-11-24 10:00:00,Blowup,Drama,Michelangelo Antonioni,1966,111,12,7.50
PRO003455,2021-11-24 12:30:00,12 Angry Men,Crime,Sidney Lumet,1957,96,0,7.00
PRO003456,2021-11-24 15:00:00,The Shawshank Redemption,Drama,Frank Darabont,1994,142,12,7.00
PRO003457,2021-11-25 10:30:00,"Il buono, il brutto, il cattivo",Western,Sergio Leone,1966,161,12,6.50
PRO003458,2021-11-25 14:00:00,Lagaan: Once Upon a Time in India,Adventure,Ashutosh Gowariker,2001,224,0,7.00
PRO003459,2021-11-25 18:30:00,Planet of the Apes,Adventure,Franklin J. Schaffner,1968,112,0,8.50
PRO003460,2021-11-26 10:30:00,"Il buono, il brutto, il cattivo",Western,Sergio Leone,1966,161,12,8.50
PRO003461,2021-11-26 14:00:00,Predator,Action,John McTiernan,1987,107,12,7.00
PRO003462,2021-11-26 16:30:00,Ghostbusters,Action,Ivan Reitman,1984,105,12,8.00
PRO003463,2021-11-27 10:00:00,Klaus,Animation,Sergio Pablos,2019,96,6,8.00
PRO003464,2021-11-27 12:30:00,Planet of the Apes,Adventure,Franklin J. Schaffner,1968,112,0,7.50
PRO003465,2021-11-27 15:30:00,Mississippi Burning,Crime,Alan Parker,1988,128,12,7.00
PRO003466,2021-11-28 10:30:00,Planet of the Apes,Adventure,Franklin J. Schaffner,1968,112,0,6.50
PRO003467,2021-11-28 13:30:00,Predator,Action,John McTiernan,1987,107,12,8.00
PRO003468,2021-11-28 16:00:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,8.00
PRO003469,2021-11-28 18:00:00,Lagaan: Once Upon a Time in India,Adventure,Ashutosh Gowariker,2001,224,0,10.00
PRO003470,2021-11-29 10:30:00,Il postino,Biography,Michael Radford,1994,108,0,7.50
PRO003471,2021-11-29 13:00:00,12 Angry Men,Crime,Sidney Lumet,1957,96,0,7.50
PRO003472,2021-11-29 15:30:00,The Message,Biography,Moustapha Akkad,1976,177,6,6.50
PRO003473,2021-11-30 10:30:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,7.50
PRO003474,2021-12-01 10:30:00,Little Women,Drama,Greta Gerwig,2019,135,0,7.00
PRO003475,2021-12-01 13:30:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,8.50
PRO003476,2021-12-01 16:00:00,Kakushi-toride no san-akunin,Adventure,Akira Kurosawa,1958,139,12,8.00
PRO003477,2021-12-02 10:30:00,American Beauty,Drama,Sam Mendes,1999,122,12,8.50
PRO003478,2021-12-02 13:30:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,6.50
PRO003479,2021-12-02 15:30:00,Network,Drama,Sidney Lumet,1976,121,12,6.50
PRO003480,2021-12-03 10:00:00,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,8.50
PRO003481,2021-12-03 13:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,7.00
PRO003482,2021-12-03 16:00:00,JFK,Drama,Oliver Stone,1991,189,12,7.50
PRO003483,2021-12-04 10:00:00,Hamlet,Drama,Kenneth Branagh,1996,242,12,7.50
PRO003484,2021-12-04 15:00:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,7.50
PRO003485,2021-12-04 17:30:00,Mississippi Burning,Crime,Alan Parker,1988,128,12,6.50
PRO003486,2021-12-04 20:30:00,Malcolm X,Biography,Spike Lee,1992,202,0,9.00
PRO003487,2021-12-05 10:30:00,Ghostbusters,Action,Ivan Reitman,1984,105,12,7.50
PRO003488,2021-12-05 13:00:00,Klaus,Animation,Sergio Pablos,2019,96,6,7.00
PRO003489,2021-12-05 15:30:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,7.50
PRO003490,2021-12-05 17:30:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,6.50
PRO003491,2021-12-06 10:30:00,Malcolm X,Biography,Spike Lee,1992,202,0,7.50
PRO003492,2021-12-06 15:00:00,Paths of Glory,Drama,Stanley Kubrick,1957,88,12,8.00
PRO003493,2021-12-07 10:00:00,Hamlet,Drama,Kenneth Branagh,1996,242,12,8.00
PRO003494,2021-12-08 10:00:00,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,8.00
PRO003495,2021-12-08 12:30:00,Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,113,0,8.50
PRO003496,2021-12-09 10:30:00,Mimi wo sumaseba,Animation,Yoshifumi Kondô,1995,111,0,8.00
PRO003497,2021-12-09 13:30:00,The Message,Biography,Moustapha Akkad,1976,177,6,7.50
PRO003498,2021-12-09 17:00:00,Planet of the Apes,Adventure,Franklin J. Schaffner,1968,112,0,7.00
PRO003499,2021-12-10 10:00:00,Cat on a Hot Tin Roof,Drama,Richard Brooks,1958,108,12,7.50
PRO003500,2021-12-10 12:30:00,The Straight Story,Biography,David Lynch,1999,112,0,7.00
PRO003501,2021-12-11 10:00:00,Paths of Glory,Drama,Stanley Kubrick,1957,88,12,6.50
PRO003502,2021-12-11 12:30:00,Mississippi Burning,Crime,Alan Parker,1988,128,12,7.50
PRO003503,2021-12-11 15:30:00,True Romance,Crime,Tony Scott,1993,119,16,8.50
PRO003504,2021-12-11 18:30:00,Il postino,Biography,Michael Radford,1994,108,0,8.50
PRO003505,2021-12-12 10:30:00,Lagaan: Once Upon a Time in India,Adventure,Ashutosh Gowariker,2001,224,0,7.00
PRO003506,2021-12-12 15:00:00,Hamlet,Drama,Kenneth Branagh,1996,242,12,6.50
PRO003507,2021-12-12 20:00:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,8.50
PRO003508,2021-12-13 10:00:00,The Message,Biography,Moustapha Akkad,1976,177,6,8.00
PRO003509,2021-12-13 14:00:00,Paths of Glory,Drama,Stanley Kubrick,1957,88,12,7.00
PRO003510,2021-12-13 16:30:00,Cowboy Bebop: Tengoku no tobira,Animation,Shin'ichirô Watanabe,2001,115,0,8.00
PRO003511,2021-12-14 10:00:00,Predator,Action,John McTiernan,1987,107,12,8.50
PRO003512,2021-12-15 10:30:00,Aladdin,Animation,Ron Clements,1992,90,0,7.50
PRO003513,2021-12-15 13:00:00,Mimi wo sumaseba,Animation,Yoshifumi Kondô,1995,111,0,7.00
PRO003514,2021-12-15 15:30:00,Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,113,0,8.00
PRO003515,2021-12-16 10:30:00,Aladdin,Animation,Ron Clements,1992,90,0,8.00
PRO003516,2021-12-16 13:00:00,Kakushi-toride no san-akunin,Adventure,Akira Kurosawa,1958,139,12,7.00
PRO003517,2021-12-16 16:00:00,Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,113,0,8.00
PRO003518,2021-12-17 10:00:00,Klaus,Animation,Sergio Pablos,2019,96,6,8.00
PRO003519,2021-12-17 12:30:00,"Il buono, il brutto, il cattivo",Western,Sergio Leone,1966,161,12,7.50
PRO003520,2021-12-17 16:00:00,Mississippi Burning,Crime,Alan Parker,1988,128,12,7.50
PRO003521,2021-12-18 10:30:00,Full Metal Jacket,Drama,Stanley Kubrick,1987,116,12,8.00
PRO003522,2021-12-18 13:30:00,The Straight Story,Biography,David Lynch,1999,112,0,8.50
PRO003523,2021-12-18 16:00:00,Clerks,Comedy,Kevin Smith,1994,92,16,7.00
PRO003524,2021-12-19 10:00:00,Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,113,0,8.50
PRO003525,2021-12-19 12:30:00,Planet of the Apes,Adventure,Franklin J. Schaffner,1968,112,0,8.00
PRO003526,2021-12-19 15:30:00,Il postino,Biography,Michael Radford,1994,108,0,7.50
PRO003527,2021-12-19 18:00:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,8.50
PRO003528,2021-12-20 10:00:00,Il postino,Biography,Michael Radford,1994,108,0,7.50
PRO003529,2021-12-20 12:30:00,Druk,Comedy,Thomas Vinterberg,2020,117,12,8.00
PRO003530,2021-12-21 10:00:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,7.00
PRO003531,2021-12-21 12:30:00,True Romance,Crime,Tony Scott,1993,119,16,6.50
PRO003532,2021-12-21 15:30:00,Aladdin,Animation,Ron Clements,1992,90,0,7.00
PRO003533,2021-12-22 10:00:00,"Aguirre, der Zorn Gottes",Action,Werner Herzog,1972,95,12,8.50
PRO003534,2021-12-22 12:30:00,Il postino,Biography,Michael Radford,1994,108,0,8.00
PRO003535,2021-12-23 10:30:00,Schindler's List,Biography,Steven Spielberg,1993,195,12,8.00
PRO003536,2021-12-23 14:30:00,Platoon,Drama,Oliver Stone,1986,120,12,6.50
PRO003537,2021-12-23 17:30:00,Das Boot,Adventure,Wolfgang Petersen,1981,149,16,8.00
PRO003538,2021-12-24 10:30:00,Das Boot,Adventure,Wolfgang Petersen,1981,149,16,8.50
PRO003539,2021-12-25 10:00:00,Planet of the Apes,Adventure,Franklin J. Schaffner,1968,112,0,6.50
PRO003540,2021-12-25 12:30:00,Ghostbusters,Action,Ivan Reitman,1984,105,12,7.00
PRO003541,2021-12-25 15:00:00,True Romance,Crime,Tony Scott,1993,119,16,8.00
PRO003542,2021-12-25 18:00:00,Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,113,0,8.50
PRO003543,2021-12-26 10:00:00,Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,113,0,7.50
PRO003544,2021-12-26 13:00:00,Das Boot,Adventure,Wolfgang Petersen,1981,149,16,8.50
PRO003545,2021-12-26 16:30:00,E.T. the Extra-Terrestrial,Family,Steven Spielberg,1982,115,0,8.00
PRO003546,2021-12-26 19:30:00,Lagaan: Once Upon a Time in India,Adventure,Ashutosh Gowariker,2001,224,0,9.50
PRO003547,2021-12-27 10:00:00,Snatch,Comedy,Guy Ritchie,2000,104,12,7.00
PRO003548,2021-12-27 12:30:00,Mississippi Burning,Crime,Alan Parker,1988,128,12,7.50
PRO003549,2021-12-28 10:00:00,Hamlet,Drama,Kenneth Branagh,1996,242,12,8.00
PRO003550,2021-12-28 15:00:00,Mimi wo sumaseba,Animation,Yoshifumi Kondô,1995,111,0,7.00
PRO003551,2021-12-28 17:30:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,8.50
PRO003552,2021-12-29 10:30:00,Aladdin,Animation,Ron Clements,1992,90,0,8.50
PRO003553,2021-12-29 12:30:00,Clerks,Comedy,Kevin Smith,1994,92,16,7.50
PRO003554,2021-12-30 10:00:00,Druk,Comedy,Thomas Vinterberg,2020,117,12,7.00
PRO003555,2021-12-30 13:00:00,The Royal Tenenbaums,Comedy,Wes Anderson,2001,110,12,8.50
PRO003556,2021-12-30 16:00:00,Aladdin,Animation,Ron Clements,1992,90,0,6.50
PRO003557,2021-12-31 10:00:00,The Royal Tenenbaums,Comedy,Wes Anderson,2001,110,12,6.50
PRO003558,2021-12-31 13:00:00,E.T. the Extra-Terrestrial,Family,Steven Spielberg,1982,115,0,8.00
PRO003559,2021-12-31 16:00:00,True Romance,Crime,Tony Scott,1993,119,16,7.50
PRO003560,2022-01-01 10:30:00,The Nightmare Before Christmas,Animation,Henry Selick,1993,76,0,8.00
PRO003561,2022-01-01 12:30:00,Aladdin,Animation,Ron Clements,1992,90,0,7.50
PRO003562,2022-01-01 15:00:00,Boksuneun naui geot,Crime,Chan-wook Park,2002,129,16,8.50
PRO003563,2022-01-01 18:00:00,"Aguirre, der Zorn Gottes",Action,Werner Herzog,1972,95,12,8.50
PRO003564,2022-01-02 10:30:00,"Crna macka, beli macor",Comedy,Emir Kusturica,1998,127,16,8.50
PRO003565,2022-01-02 13:30:00,Cowboy Bebop: Tengoku no tobira,Animation,Shin'ichirô Watanabe,2001,115,0,8.00
PRO003566,2022-01-02 16:30:00,Boksuneun naui geot,Crime,Chan-wook Park,2002,129,16,8.50
PRO003567,2022-01-02 19:30:00,Boksuneun naui geot,Crime,Chan-wook Park,2002,129,16,9.50
PRO003568,2022-01-03 10:30:00,The Nightmare Before Christmas,Animation,Henry Selick,1993,76,0,8.00
PRO003569,2022-01-03 12:30:00,Mimi wo sumaseba,Animation,Yoshifumi Kondô,1995,111,0,7.00
PRO003570,2022-01-04 10:00:00,True Romance,Crime,Tony Scott,1993,119,16,7.00
PRO003571,2022-01-04 13:00:00,Lagaan: Once Upon a Time in India,Adventure,Ashutosh Gowariker,2001,224,0,7.00
PRO003572,2022-01-05 10:30:00,Clerks,Comedy,Kevin Smith,1994,92,16,8.50
PRO003573,2022-01-05 13:00:00,Planet of the Apes,Adventure,Franklin J. Schaffner,1968,112,0,8.50
PRO003574,2022-01-05 15:30:00,Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,113,0,7.50
PRO003575,2022-01-06 10:30:00,True Romance,Crime,Tony Scott,1993,119,16,7.00
PRO003576,2022-01-07 10:30:00,Boksuneun naui geot,Crime,Chan-wook Park,2002,129,16,7.00
PRO003577,2022-01-07 13:30:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,7.50
PRO003578,2022-01-07 15:30:00,The Straight Story,Biography,David Lynch,1999,112,0,7.50
PRO003579,2022-01-08 10:00:00,The Great Dictator,Comedy,Charles Chaplin,1940,125,12,8.50
PRO003580,2022-01-08 13:00:00,E.T. the Extra-Terrestrial,Family,Steven Spielberg,1982,115,0,7.00
PRO003581,2022-01-08 15:30:00,Freaks,Drama,Tod Browning,1932,64,12,8.50
PRO003582,2022-01-08 17:30:00,Hamlet,Drama,Kenneth Branagh,1996,242,12,7.00
PRO003583,2022-01-09 10:00:00,"Crna macka, beli macor",Comedy,Emir Kusturica,1998,127,16,7.50
PRO003584,2022-01-09 13:00:00,The Royal Tenenbaums,Comedy,Wes Anderson,2001,110,12,6.50
PRO003585,2022-01-09 15:30:00,The Great Dictator,Comedy,Charles Chaplin,1940,125,12,8.00
PRO003586,2022-01-09 18:30:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,10.00
PRO003587,2022-01-10 10:30:00,Freaks,Drama,Tod Browning,1932,64,12,7.00
PRO003588,2022-01-10 12:30:00,Aladdin,Animation,Ron Clements,1992,90,0,8.00
PRO003589,2022-01-11 10:30:00,Boksuneun naui geot,Crime,Chan-wook Park,2002,129,16,8.50
PRO003590,2022-01-11 13:30:00,The Nightmare Before Christmas,Animation,Henry Selick,1993,76,0,8.50
PRO003591,2022-01-11 16:00:00,The Great Dictator,Comedy,Charles Chaplin,1940,125,12,6.50
PRO003592,2022-01-12 10:00:00,The Boondock Saints,Action,Troy Duffy,1999,108,16,6.50
PRO003593,2022-01-12 12:30:00,The Great Dictator,Comedy,Charles Chaplin,1940,125,12,7.50
PRO003594,2022-01-12 15:30:00,Rosemary's Baby,Drama,Roman Polanski,1968,137,12,6.50
PRO003595,2022-01-13 10:30:00,The Usual Suspects,Crime,Bryan Singer,1995,106,12,8.00
PRO003596,2022-01-13 13:30:00,Mulan,Animation,Tony Bancroft,1998,88,0,7.50
PRO003597,2022-01-13 15:30:00,Druk,Comedy,Thomas Vinterberg,2020,117,12,8.50
PRO003598,2022-01-14 10:30:00,Clerks,Comedy,Kevin Smith,1994,92,16,6.50
PRO003599,2022-01-14 13:00:00,Sleuth,Mystery,Joseph L. Mankiewicz,1972,138,6,8.00
PRO003600,2022-01-15 10:00:00,"Crna macka, beli macor",Comedy,Emir Kusturica,1998,127,16,8.50
PRO003601,2022-01-15 13:00:00,Schindler's List,Biography,Steven Spielberg,1993,195,12,7.00
PRO003602,2022-01-15 17:00:00,The Great Dictator,Comedy,Charles Chaplin,1940,125,12,8.50
PRO003603,2022-01-15 20:00:00,The Muppet Christmas Carol,Comedy,Brian Henson,1992,85,0,10.00
PRO003604,2022-01-16 10:00:00,Mulan,Animation,Tony Bancroft,1998,88,0,7.00
PRO003605,2022-01-16 12:30:00,The Great Dictator,Comedy,Charles Chaplin,1940,125,12,6.50
PRO003606,2022-01-16 15:30:00,The Usual Suspects,Crime,Bryan Singer,1995,106,12,6.50
PRO003607,2022-01-16 18:00:00,Freaks,Drama,Tod Browning,1932,64,12,9.50
PRO003608,2022-01-17 10:00:00,"Aguirre, der Zorn Gottes",Action,Werner Herzog,1972,95,12,8.00
PRO003609,2022-01-17 12:30:00,The Nightmare Before Christmas,Animation,Henry Selick,1993,76,0,8.00
PRO003610,2022-01-17 14:30:00,The Great Dictator,Comedy,Charles Chaplin,1940,125,12,8.00
PRO003611,2022-01-18 10:00:00,E.T. the Extra-Terrestrial,Family,Steven Spielberg,1982,115,0,7.50
PRO003612,2022-01-18 13:00:00,Mulan,Animation,Tony Bancroft,1998,88,0,7.50
PRO003613,2022-01-18 15:30:00,The Kid,Comedy,Charles Chaplin,1921,68,12,7.00
PRO003614,2022-01-19 10:30:00,Druk,Comedy,Thomas Vinterberg,2020,117,12,7.50
PRO003615,2022-01-19 13:30:00,Lagaan: Once Upon a Time in India,Adventure,Ashutosh Gowariker,2001,224,0,6.50
PRO003616,2022-01-19 18:00:00,The Nightmare Before Christmas,Animation,Henry Selick,1993,76,0,8.50
PRO003617,2022-01-20 10:00:00,The Adventures of Robin Hood,Action,Michael Curtiz,1938,102,6,7.50
PRO003618,2022-01-20 12:30:00,Aladdin,Animation,Ron Clements,1992,90,0,6.50
PRO003619,2022-01-20 15:00:00,Aladdin,Animation,Ron Clements,1992,90,0,6.50
PRO003620,2022-01-21 10:30:00,Shadow of a Doubt,Film-Noir,Alfred Hitchcock,1943,108,6,8.50
PRO003621,2022-01-22 10:30:00,Rain Man,Drama,Barry Levinson,1988,133,0,8.00
PRO003622,2022-01-22 13:30:00,Shadow of a Doubt,Film-Noir,Alfred Hitchcock,1943,108,6,7.50
PRO003623,2022-01-22 16:00:00,Clerks,Comedy,Kevin Smith,1994,92,16,7.00
PRO003624,2022-01-22 18:30:00,Boksuneun naui geot,Crime,Chan-wook Park,2002,129,16,8.50
PRO003625,2022-01-23 10:00:00,Sleuth,Mystery,Joseph L. Mankiewicz,1972,138,6,8.50
PRO003626,2022-01-23 13:00:00,Freaks,Drama,Tod Browning,1932,64,12,6.50
PRO003627,2022-01-23 15:00:00,Freaks,Drama,Tod Browning,1932,64,12,8.00
PRO003628,2022-01-23 17:00:00,The Nightmare Before Christmas,Animation,Henry Selick,1993,76,0,7.00
PRO003629,2022-01-24 10:30:00,Schindler's List,Biography,Steven Spielberg,1993,195,12,7.00
PRO003630,2022-01-24 14:30:00,28 Days Later...,Drama,Danny Boyle,2002,113,12,7.00
PRO003631,2022-01-24 17:30:00,The Kid,Comedy,Charles Chaplin,1921,68,12,7.50
PRO003632,2022-01-25 10:00:00,28 Days Later...,Drama,Danny Boyle,2002,113,12,8.50
PRO003633,2022-01-25 12:30:00,Spartacus,Adventure,Stanley Kubrick,1960,197,12,8.00
PRO003634,2022-01-25 17:00:00,The Adventures of Robin Hood,Action,Michael Curtiz,1938,102,6,7.00
PRO003635,2022-01-26 10:30:00,Freaks,Drama,Tod Browning,1932,64,12,7.50
PRO003636,2022-01-27 10:30:00,The Usual Suspects,Crime,Bryan Singer,1995,106,12,7.50
PRO003637,2022-01-28 10:30:00,The Adventures of Robin Hood,Action,Michael Curtiz,1938,102,6,6.50
PRO003638,2022-01-28 13:00:00,Spartacus,Adventure,Stanley Kubrick,1960,197,12,8.50
PRO003639,2022-01-28 17:00:00,Rain Man,Drama,Barry Levinson,1988,133,0,6.50
